,sentiment,news,sentiment_encoded,sentiment_transformer,sentiment_transformer_score,sent_trans_NEUTRAL_SCORE,combine
1428,neutral,"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing .",1,POSITIVE,0.9886184930801392,neutral,neutral
1429,neutral,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,1,POSITIVE,0.6366792321205139,neutral,neutral
1430,neutral,"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",1,POSITIVE,0.6164413094520569,neutral,neutral
1431,neutral,"The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment .",1,POSITIVE,0.9965394735336304,,neutral
1432,neutral,The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,1,NEGATIVE,0.9741572141647339,neutral,neutral
1433,neutral,The trade is in accordance with the agreement announced on 26 March 2008 .,1,POSITIVE,0.9935615062713623,,neutral
1434,positive,The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .,2,POSITIVE,0.9894911050796509,,positive
1435,neutral,The transaction is expected to be completed next spring .,1,POSITIVE,0.8079836964607239,neutral,neutral
1436,neutral,The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,1,NEGATIVE,0.8889028429985046,neutral,neutral
1437,neutral,The veneer and plywood industry in Sweden is quite small despite the raw material resources .,1,NEGATIVE,0.9991675615310669,,neutral
1438,neutral,The writing and publication of Lemmink+Æinen -“ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,1,POSITIVE,0.996199906,,neutral
1439,neutral,"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",1,NEGATIVE,0.9537245035171509,neutral,neutral
1440,neutral,"They re in a race with Google to get lots of users onto their service as social networking creates new business models , said Martin Garner , a London-based analyst with CCS Insight .",1,POSITIVE,0.8690934181213379,neutral,neutral
1441,neutral,This beauty is an updated version of her chichi loop shade launched in 2001 .,1,POSITIVE,0.9996578693389893,,neutral
1442,positive,Through this transaction we are able to participate in developing the industry .,2,POSITIVE,0.9997629523277283,,positive
1443,neutral,"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",1,NEGATIVE,0.974783182,neutral,neutral
1444,neutral,"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",1,NEGATIVE,0.552241325,neutral,neutral
1445,neutral,Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .,1,NEGATIVE,0.9917218089103699,,neutral
1446,neutral,Ulefos Group is the leading supplier of manhole covers in the Nordic countries .,1,POSITIVE,0.9919445514678955,,neutral
1447,positive,"Upgrades include a five megapixel camera , voice control , and what looks to be an optical mouse instead a D-pad -- an upgrade click-happy S60 has needed forever .",2,NEGATIVE,0.9734808206558228,neutral,neutral
1448,positive,UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,2,POSITIVE,0.9987144470214844,,positive
1449,neutral,Uponor has initiated actions to attempt to recover the cost of the replacement program from the supplier of the clamps as well as its insurance company .,1,NEGATIVE,0.9938803911209106,,neutral
1450,neutral,Uponor maintains its full-year guidance for 2010 .,1,POSITIVE,0.9845967888832092,neutral,neutral
1451,neutral,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",1,NEGATIVE,0.9975051283836365,,neutral
1452,neutral,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",1,POSITIVE,0.8588471412658691,neutral,neutral
1453,neutral,We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1,POSITIVE,0.9993232488632202,,neutral
1454,positive,"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .",2,POSITIVE,0.9997841715812683,,positive
1455,neutral,Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .,1,NEGATIVE,0.6888167858123779,neutral,neutral
1456,neutral,What would you like to see changed on Nokia 's next attempt ?,1,NEGATIVE,0.7770168781280518,neutral,neutral
1457,neutral,"When completed , the 120-meter Watchtower will be the highest building in Ireland .",1,POSITIVE,0.9996562004089355,,neutral
1458,neutral,"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",1,POSITIVE,0.5825786590576172,neutral,neutral
1459,neutral,"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice .",1,POSITIVE,0.9946070313453674,,neutral
1460,neutral,"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",1,NEGATIVE,0.740412712,neutral,neutral
1461,neutral,You are warmly welcome !,1,POSITIVE,0.9998533725738525,,neutral
1462,neutral,Approval by shareholders of Cencorp in accordance with Finnish law .,1,POSITIVE,0.99659133,,neutral
1463,neutral,"Tikkurila has an interesting growth strategy , which we support .",1,POSITIVE,0.9997003078460693,,neutral
1464,neutral,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,1,NEGATIVE,0.9900924563407898,,neutral
1465,positive,"` Ruukki has experience of logistics construction , competence in project management and also has the best references in terms of steel frame production and installation , ' says Onodi Stefan , General Manager of Arxikon Construction Company SRL , which is Ruukki 's customer .",2,POSITIVE,0.9995930790901184,,positive
1466,neutral,` The investment in Matka-Vekka has been reasonable for investors in CapMan funds . ',1,NEGATIVE,0.7186068892478943,neutral,neutral
1467,neutral,"`` As a part of the Eseries business promise , the Nokia E50 has been equipped with a variety of email solutions in a small and stylised package , '' said Dave Grannan , general manager , Enterprise Solutions , Nokia .",1,POSITIVE,0.9907626509666443,,neutral
1468,neutral,"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields .",1,NEGATIVE,0.9974749684333801,,neutral
1469,positive,`` I warmly welcome Michael Frei to Outotec .,2,POSITIVE,0.9997822642326355,,positive
1470,neutral,`` Nokia is just interested in bring Nokia to the market . '',1,POSITIVE,0.9967824220657349,,neutral
1471,neutral,`` Our aim is to understand different traffic patterns based on the use of each building .,1,POSITIVE,0.9888836741447449,neutral,neutral
1472,neutral,`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .,1,POSITIVE,0.9586021900177002,neutral,neutral
1473,neutral,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,1,POSITIVE,0.9617984294891357,neutral,neutral
1474,neutral,`` Rapala is excited to be partnering with RBFF and other industry leaders on this holiday promotion . '',1,POSITIVE,0.9990465044975281,,neutral
1475,neutral,`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years .,1,POSITIVE,0.9912010431289673,,neutral
1476,neutral,`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,1,POSITIVE,0.9994090795516968,,neutral
1477,positive,"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group .",2,POSITIVE,0.9956027269363403,,positive
1478,neutral,"`` The bond gathered subscriptions from some 400 investors and the issued amount can be considered substantial taking into account the main target group -- retail investors , '' Citycon CFO Eero Sihvonen said .",1,POSITIVE,0.9943702816963196,,neutral
1479,positive,`` The CHF is a great product .,2,POSITIVE,0.9998390674591064,,positive
1480,neutral,`` The flex is a small price to pay for happy lenders . '',1,POSITIVE,0.6442500948905945,neutral,neutral
1481,neutral,"`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset , '' he wrote .",1,NEGATIVE,0.9862242937088013,neutral,neutral
1482,positive,"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",2,POSITIVE,0.9997217059135437,,positive
1483,neutral,"`` Tom Doring has a long and successful career in the drives business , and he knows the American market .",1,POSITIVE,0.9996155500411987,,neutral
1484,positive,"`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience .",2,POSITIVE,0.9995362758636475,,positive
1485,neutral,`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,1,POSITIVE,0.9987953901290894,,neutral
1486,neutral,18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,1,NEGATIVE,0.9183769226074219,neutral,neutral
1487,neutral,"3G data subscribers are also helping to maintain these growth levels , since data-only subscriptions push for more multiple SIM ownership .",1,POSITIVE,0.9964700937271118,,neutral
1488,neutral,6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,1,NEGATIVE,0.8681639432907104,neutral,neutral
1489,neutral,A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,1,POSITIVE,0.9990752935409546,,neutral
1490,neutral,"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",1,POSITIVE,0.6314078569412231,neutral,neutral
1491,positive,A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,2,POSITIVE,0.9964200258255005,,positive
1492,neutral,A PLUMBING business has announced it is sponsoring a professional darts player .,1,NEGATIVE,0.69506067,neutral,neutral
1493,positive,A realignment of interests in the sector is clearly under way .,2,POSITIVE,0.9565151333808899,neutral,neutral
1494,neutral,"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",1,POSITIVE,0.9700648784637451,neutral,neutral
1495,neutral,Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,1,NEGATIVE,0.9178184270858765,neutral,neutral
1496,positive,"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",2,POSITIVE,0.9705979228019714,neutral,neutral
1497,neutral,"After piloting , the instrument will be further developed according to the experiences gained .",1,NEGATIVE,0.7710105180740356,neutral,neutral
1498,neutral,"And when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art .",1,NEGATIVE,0.5172625184059143,neutral,neutral
1499,neutral,Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,1,NEGATIVE,0.9974059462547302,,neutral
1500,neutral,As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .,1,POSITIVE,0.8581379055976868,neutral,neutral
1501,neutral,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,1,POSITIVE,0.9370572566986084,neutral,neutral
1502,positive,"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength .",2,POSITIVE,0.9342408180236816,neutral,neutral
1503,neutral,"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",1,NEGATIVE,0.9826194047927856,neutral,neutral
1504,neutral,"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila .",1,NEGATIVE,0.961517334,neutral,neutral
1505,neutral,"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",1,POSITIVE,0.9463348388671875,neutral,neutral
1506,neutral,BG Crane has a strong customer base in the on-road load handling and related installation and service businesses .,1,POSITIVE,0.9984306693077087,,neutral
1507,neutral,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,1,POSITIVE,0.9972577691078186,,neutral
1508,neutral,Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,1,POSITIVE,0.9949192404747009,,neutral
1509,neutral,"Cathay Forest 's strategy is to develop sustainable , regenerative forest assets .",1,POSITIVE,0.998879611,,neutral
1510,neutral,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,1,NEGATIVE,0.9224159121513367,neutral,neutral
1511,neutral,"Chargers manufactured under the new platform are suitable for mobile phones , navigators , digital cameras , Bluetooth head sets , media players and other electronic devices .",1,POSITIVE,0.8975350260734558,neutral,neutral
1512,positive,"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says Matti Leminen , President of Anttila Oy .",2,POSITIVE,0.9904975295066833,,positive
1513,neutral,"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",1,POSITIVE,0.9732758402824402,neutral,neutral
1514,neutral,Customers in a wide range of industries use our stainless steel and services worldwide .,1,POSITIVE,0.9974057078361511,,neutral
1515,neutral,Delivery will start immediately in June 2008 and will be completed in 2008 .,1,POSITIVE,0.9919997453689575,,neutral
1516,neutral,"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th .",1,POSITIVE,0.995663583,,neutral
1517,neutral,Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,1,NEGATIVE,0.6123917102813721,neutral,neutral
1518,neutral,Elisa will expand the use of this technology provided the pilot proves successful .,1,POSITIVE,0.9981239438056946,,neutral
1519,neutral,"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",1,POSITIVE,0.9993938207626343,,neutral
1520,neutral,Europe needs 17 new large paper machines .,1,NEGATIVE,0.9873857498168945,neutral,neutral
1521,neutral,Exel wants to serve its industrial customers with individual products .,1,NEGATIVE,0.9641596078872681,neutral,neutral
1522,neutral,"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",1,POSITIVE,0.709499717,neutral,neutral
1523,neutral,"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab .",1,NEGATIVE,0.9861783981323242,neutral,neutral
1524,positive,"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",2,POSITIVE,0.6227684020996094,neutral,neutral
1525,negative,"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",0,NEGATIVE,0.9983356595039368,,negative
1526,neutral,"Following the impact , the Altima hit a utility pole , causing a live electric line to fall onto the roadway .",1,NEGATIVE,0.9956177473068237,,neutral
1527,neutral,From Merisatama to the far corners of the world Asfaltti Osakeyhti+¦ Lemmink+Æinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,1,POSITIVE,0.9941860437393188,,neutral
1528,neutral,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",1,NEGATIVE,0.8601378798484802,neutral,neutral
1529,neutral,"Further concrete cooperation is also carried out through various projects , doctoral theses and diploma dissertations .",1,POSITIVE,0.9971983432769775,,neutral
1530,neutral,"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",1,POSITIVE,0.7739245891571045,neutral,neutral
1531,positive,"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .",2,POSITIVE,0.9462534785270691,neutral,neutral
1532,neutral,He is resting comfortably and is looking forward to getting back to work . '',1,POSITIVE,0.9994547963142395,,neutral
1533,neutral,"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",1,NEGATIVE,0.9955077171325684,,neutral
1534,neutral,"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",1,POSITIVE,0.9857786893844604,neutral,neutral
1535,neutral,"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",1,NEGATIVE,0.9885391592979431,neutral,neutral
1536,neutral,"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",1,POSITIVE,0.9838002324104309,neutral,neutral
1537,neutral,"In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance .",1,POSITIVE,0.9987754225730896,,neutral
1538,neutral,"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",1,POSITIVE,0.9993076324462891,,neutral
1539,neutral,"In Penttil+Æ 's vision , the most important reason for the transaction is Russia .",1,POSITIVE,0.9867997169494629,neutral,neutral
1540,positive,"In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said .",2,POSITIVE,0.9987543821334839,,positive
1541,neutral,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",1,POSITIVE,0.9827285408973694,neutral,neutral
1542,neutral,"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",1,POSITIVE,0.9452183842658997,neutral,neutral
1543,neutral,"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",1,POSITIVE,0.9939630627632141,,neutral
1544,neutral,"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",1,POSITIVE,0.9996058344841003,,neutral
1545,neutral,It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,1,POSITIVE,0.9697123169898987,neutral,neutral
1546,positive,"It also has strong assets in electronic media , employing 18,500 an increase of 9 percent on last year .",2,POSITIVE,0.9993108510971069,,positive
1547,neutral,It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,1,NEGATIVE,0.9831464886665344,neutral,neutral
1548,neutral,"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",1,POSITIVE,0.9919432401657104,,neutral
1549,neutral,"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",1,NEGATIVE,0.9982340335845947,,neutral
1550,neutral,"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",1,POSITIVE,0.9977327585220337,,neutral
1551,neutral,It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .,1,POSITIVE,0.9829692244529724,neutral,neutral
1552,neutral,"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",1,NEGATIVE,0.9488328099250793,neutral,neutral
1553,neutral,"It s an area that is highly valued , because most of the land there has already been built on .",1,POSITIVE,0.999532938,,neutral
1554,positive,"Kaido Kaare , general director for Atria Eesti , says the company 's investments in the upgrade of the pig farms surpass EEK 150mn EUR 9.59 mn USD 14.19 mn in the past years .",2,NEGATIVE,0.7398902177810669,neutral,neutral
1555,neutral,"Kaukopartio Oy has acquired specialized knowledge in Far Eastern operations , and industrial sourcing services are their core competence .",1,POSITIVE,0.996234119,,neutral
1556,neutral,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,1,NEGATIVE,0.9236671924591064,neutral,neutral
1557,neutral,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",1,NEGATIVE,0.9664970636367798,neutral,neutral
1558,neutral,"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",1,POSITIVE,0.5009546279907227,neutral,neutral
1559,neutral,The fine print is here .,1,POSITIVE,0.9990007281303406,,neutral
1560,neutral,M. and a Master of Business Administration MBA .,1,POSITIVE,0.9619336724281311,neutral,neutral
1561,neutral,Martela is a front runner in providing innovative solutions and customer service Martela designs and supplies interior solutions for working environments and public spaces .,1,POSITIVE,0.999697208,,neutral
1562,neutral,More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,1,POSITIVE,0.9956366419792175,,neutral
1563,neutral,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,1,POSITIVE,0.9888108968734741,neutral,neutral
1564,neutral,NetCom expects to complete Turbo 3G deployment in these areas this year .,1,NEGATIVE,0.9742231369018555,neutral,neutral
1565,neutral,"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",1,POSITIVE,0.9967834949493408,,neutral
1566,neutral,"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",1,POSITIVE,0.974763036,neutral,neutral
1567,positive,"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",2,POSITIVE,0.9898842573165894,,positive
1568,neutral,Nokian Tyres ' tyres are considered genuine winter tyres in Russia .,1,POSITIVE,0.9985432624816895,,neutral
1569,neutral,"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",1,POSITIVE,0.7984649538993835,neutral,neutral
1570,negative,"On the other hand , Finnish sawmills ' production has decreased even more .",0,NEGATIVE,0.99944061,,negative
1571,positive,"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",2,POSITIVE,0.9914828538894653,,positive
1572,neutral,"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote .",1,POSITIVE,0.8062434792518616,neutral,neutral
1573,neutral,"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",1,POSITIVE,0.6863031387329102,neutral,neutral
1574,neutral,"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",1,POSITIVE,0.6828936338424683,neutral,neutral
1575,neutral,"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima .",1,POSITIVE,0.997114897,,neutral
1576,neutral,Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,1,NEGATIVE,0.9962853193283081,,neutral
1577,neutral,Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .,1,POSITIVE,0.9994682669639587,,neutral
1578,neutral,Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,1,POSITIVE,0.9993956089019775,,neutral
1579,neutral,Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .,1,POSITIVE,0.9993845224380493,,neutral
1580,neutral,Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,1,POSITIVE,0.9993256330490112,,neutral
1581,neutral,Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,1,POSITIVE,0.9993886947631836,,neutral
1582,neutral,Pharmaceuticals - Spain This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Spain .,1,POSITIVE,0.9993783235549927,,neutral
1583,neutral,"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",1,NEGATIVE,0.6128002405166626,neutral,neutral
1584,neutral,"Pulkovo park will be ready in 2016 , its first stage of 23,000 sq. m. will be finished in the first quarter of 2010 .",1,POSITIVE,0.9922409057617188,,neutral
1585,neutral,Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,1,POSITIVE,0.9908836483955383,,neutral
1586,neutral,"Rapala VMC Corporation Rapala , a leading fishing tackle and sporting goods manufacturer and distributor , is the main owner of Peltonen with its 80 % shareholding .",1,POSITIVE,0.9200060963630676,neutral,neutral
1587,neutral,"Remote Phone Management demonstrates SysOpen Digia 's unique end-to-end offering for operators , handset manufacturers and enterprise customers .",1,POSITIVE,0.9983898401260376,,neutral
1588,positive,"Renzo Piano 's building design will be a wonderful addition to London 's skyline , '' says Noud Veeger , EVP and Area Director for Central and North Europe at KONE .",2,POSITIVE,0.999868631,,positive
1589,neutral,"Reporting in accordance with the merged business operations will start as of January 1 , 2011 .",1,POSITIVE,0.9112608432769775,neutral,neutral
1590,neutral,RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .,1,POSITIVE,0.6220729947090149,neutral,neutral
1591,neutral,Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,1,POSITIVE,0.9956216216087341,,neutral
1592,neutral,Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,1,POSITIVE,0.8992646932601929,neutral,neutral
1593,neutral,s already good position in the technical building services market in Ostrobothnia .,1,POSITIVE,0.9877370595932007,neutral,neutral
1594,neutral,"S Group 's loyal customer magazine Yhteishyv+Æ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .",1,POSITIVE,0.9711939096450806,neutral,neutral
1595,neutral,"SCOPI Chief Business Excellence Officer , Eng .",1,POSITIVE,0.9875849485397339,neutral,neutral
1596,neutral,"Seppala transferred the sale to a greater extent than last year to February , and this is reflected on the January sales figures .",1,POSITIVE,0.9944332242012024,,neutral
1597,neutral,"Stora Enso Oyj said Friday it will sell its North American unit to NewPage , in a deal valued at euro1 .82 billion US$ 2.52 million .",1,NEGATIVE,0.7697780728340149,neutral,neutral
1598,neutral,Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',1,POSITIVE,0.9431912302970886,neutral,neutral
1599,neutral,"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots .",1,POSITIVE,0.9986259937286377,,neutral
1600,neutral,"Tekla 's defense business employs over 20 persons and is located in Espoo , Finland .",1,POSITIVE,0.9080029726028442,neutral,neutral
1601,neutral,"Tekla 's software solutions make customers ' core processes more effective in building and construction , energy distribution , infrastructure management and water supply .",1,POSITIVE,0.9885532855987549,neutral,neutral
1602,positive,Tekla will implement the renewal in software versions which will be introduced in spring 2011 .,2,POSITIVE,0.966896117,neutral,neutral
1603,neutral,"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",1,POSITIVE,0.982155979,neutral,neutral
1604,positive,The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .,2,POSITIVE,0.9853345155715942,neutral,neutral
1605,neutral,The aim is to develop open-source application solutions .,1,POSITIVE,0.986822248,neutral,neutral
1606,neutral,"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million .",1,NEGATIVE,0.8869165778160095,neutral,neutral
1607,neutral,"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",1,NEGATIVE,0.9732615947723389,neutral,neutral
1608,positive,The annual Thesis contest is aimed to enhance the thesis quality and to strengthen the thesis culture in polytechnics .,2,POSITIVE,0.9970219731330872,,positive
1609,neutral,"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",1,NEGATIVE,0.9846424460411072,neutral,neutral
